INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
4652544,19.83,1005.0,92.0,18.49,100.0,3219.0,6.2,16.5
4108707,26.2,1011.0,69.0,20.06,0.0,10000.0,5.7,0.53
722551,-6.85,1011.0,67.0,-11.39,75.0,10000.0,4.1,
2013392,24.31,1015.0,60.0,16.05,75.0,10000.0,3.1,
3270209,33.14,1013.0,48.0,20.66,40.0,10000.0,3.1,
4462317,23.75,1014.0,90.0,22.01,100.0,4828.0,4.1,0.2
4629415,15.24,1013.0,52.0,5.46,40.0,10000.0,13.9,0.12
4949126,0.86,1025.0,84.0,-1.35,0.0,10000.0,2.1,
713269,-8.32,1017.0,55.0,-14.97,100.0,10000.0,2.6,
2213989,17.58,1019.0,80.0,14.09,100.0,10000.0,6.2,
4989853,9.93,1009.0,65.0,3.67,75.0,10000.0,8.8,
5167538,18.23,1014.0,89.0,16.39,75.0,10000.0,5.1,
3840494,28.3,1012.0,83.0,25.13,75.0,10000.0,3.1,0.3
1425958,14.96,1021.0,82.0,11.92,75.0,10000.0,3.1,
4049381,24.1,1010.0,71.0,18.52,20.0,10000.0,0.0,
1184084,18.58,1019.0,90.0,16.91,100.0,4828.0,4.6,1.0
2822716,33.86,1014.0,44.0,19.9,75.0,10000.0,5.7,
36819,18.82,1013.0,93.0,17.66,100.0,10000.0,3.1,1.04
4982270,17.3,1017.0,86.0,14.94,75.0,10000.0,4.6,
1997390,15.64,1008.0,57.0,7.16,40.0,10000.0,2.1,
3182522,21.87,1013.0,80.0,18.27,75.0,10000.0,3.1,
4714630,1.85,1016.0,88.0,0.08,100.0,4828.0,4.6,
1964140,27.75,1024.0,42.0,13.68,40.0,10000.0,1.5,
4071945,28.37,1012.0,64.0,20.91,75.0,10000.0,8.2,0.16
2114561,13.52,1013.0,84.0,10.87,75.0,10000.0,3.1,2.53
594482,-3.09,1015.0,79.0,-5.86,100.0,10000.0,7.7,
3177694,22.84,1015.0,87.0,20.56,75.0,10000.0,0.0,0.65
770053,-15.4,1025.0,59.0,-20.98,100.0,10000.0,6.7,
485298,0.23,1012.0,91.0,-0.94,100.0,805.0,4.1,
2173074,25.57,1023.0,78.0,21.45,100.0,6437.0,2.1,
1439286,8.99,1011.0,48.0,-1.26,40.0,10000.0,2.1,
590015,0.57,1012.0,88.0,-1.05,100.0,4828.0,6.2,
3731869,23.31,1014.0,88.0,21.21,75.0,10000.0,2.1,0.2
124236,-14.74,1014.0,79.0,-17.27,100.0,4023.0,9.3,
646381,,,,,,,,
1336558,32.23,1011.0,41.0,17.31,75.0,10000.0,10.8,0.23
2937270,23.13,1014.0,46.0,10.89,75.0,10000.0,3.1,
4313579,21.13,1016.0,62.0,13.57,0.0,10000.0,2.6,
5275269,1.28,1025.0,75.0,-2.35,100.0,10000.0,6.7,
1213835,0.04,1024.0,92.0,-0.97,100.0,1609.0,2.6,
